,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,3,-0.11993473596592596,0.011418581008911133,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 100.0}",0.23242797262705178,0.23242797262705178,0.1817095549480494,0.012449359893798828,0.0032767589156376983
1,2,6,0.5875139720317128,0.010550737380981445,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.4923409186028274,0.4923409186028274,0.09471048509007637,0.013136959075927735,0.0026149852644316574
2,4,13,0.6174239971652844,0.009180545806884766,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.7193775836693125,0.7193775836693125,0.07188577967727634,0.012123870849609374,0.0007899447969839915
3,5,16,0.7341802535117519,0.03782796859741211,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 100.0}",0.7760047117051116,0.7760047117051116,0.08455413413308596,0.0243100643157959,0.0024982785908783385
4,7,23,0.7364701735827406,0.03979325294494629,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 100.0}",0.7964156358122215,0.7964156358122215,0.04841420501805354,0.024735450744628906,0.005158035174952485
5,9,30,0.7653479369376888,0.026518583297729492,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8114013830406078,0.8114013830406078,0.024117255852554476,0.015536832809448241,0.0017799504353115364
6,10,33,0.7714856800953909,0.0183563232421875,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7963220901153305,0.7963220901153305,0.03501027225827386,0.011365795135498047,0.0020218696083556917
7,12,40,0.7823254871363263,0.026036500930786133,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.7971008402906161,0.7971008402906161,0.03108490121665602,0.011041927337646484,0.002594245403231005
8,13,43,0.7732353289375546,0.04295015335083008,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8035451158571414,0.8035451158571414,0.025261217750928197,0.012240457534790038,0.002723922482813121
9,15,50,0.7777339294995325,0.05957770347595215,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8030210551723485,0.8030210551723485,0.03285799281368406,0.013274765014648438,0.0021736372275434814
10,17,57,0.7731857001661762,0.05680108070373535,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7986813559441736,0.7986813559441736,0.03969724904180897,0.016943645477294923,0.0009188575006903457
11,18,60,0.7741910557159328,0.0361018180847168,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8004280541645663,0.8004280541645663,0.039405195430718604,0.015198898315429688,0.0031877030852101498
12,20,67,0.7749008973033974,0.06212568283081055,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7989001525467376,0.7989001525467376,0.03927690741042845,0.014666175842285157,0.003186421760120866
13,21,70,0.7735920351542465,0.03878664970397949,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7988295728296915,0.7988295728296915,0.03794883791157728,0.018425846099853517,0.00024049340573554823
14,23,77,0.7756305357317267,0.06256914138793945,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8005396307556435,0.8005396307556435,0.036428334551501636,0.013928842544555665,0.0020620811212981606
15,25,84,0.7759064013363716,0.07385945320129395,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7998446518026714,0.7998446518026714,0.03925599318452878,0.01341547966003418,0.001947931971837429
