,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,3,0.0010202137271015932,0.008913993835449219,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.3012545153677427,0.3012545153677427,0.15845515794245815
1,2,6,0.1932648515514127,0.010468482971191406,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.5289305705390921,0.5289305705390921,0.07455928813210087
2,4,13,0.6943567211359357,0.023143768310546875,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7600407414659532,0.7600407414659532,0.04833233252799307
3,5,16,0.7702043846596318,0.011030197143554688,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.788766212351408,0.788766212351408,0.0434251256526762
4,7,23,0.7824002946477664,0.022560596466064453,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 100.0}",0.7895540302605027,0.7895540302605027,0.045436844738627864
5,9,30,0.772135450079475,0.028320789337158203,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8061000882658496,0.8061000882658496,0.024293395802998972
6,10,33,0.7779172090642884,0.030422687530517578,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.81065507609583,0.81065507609583,0.023690088992750893
7,12,40,0.7786106563951475,0.013872385025024414,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8009229909195543,0.8009229909195543,0.025492195972407695
8,13,43,0.7736856794802915,0.07593154907226562,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8030153847829125,0.8030153847829125,0.033791561548867234
9,15,50,0.7774688430419119,0.02784252166748047,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8047270720294446,0.8047270720294446,0.026332126056852763
10,17,57,0.7734887494084012,0.022843599319458008,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8082562844598769,0.8082562844598769,0.02668231940577969
11,18,60,0.7749103864740696,0.03543496131896973,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8010255308134375,0.8010255308134375,0.03777052533971145
12,20,67,0.7740885074888881,0.038291215896606445,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.8003694476874175,0.8003694476874175,0.0394211251996651
13,21,70,0.7816041261503792,0.0227816104888916,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8014976334754035,0.8014976334754035,0.026737108475661592
14,23,77,0.7743384856209279,0.040602922439575195,"{'regressor__nystroem__gamma': 0.0006905339660024879, 'regressor__svm__C': 100.0}",0.7996498002676303,0.7996498002676303,0.037773178601673355
15,25,84,0.7800045854950921,0.03174948692321777,"{'regressor__nystroem__gamma': 0.0078125, 'regressor__svm__C': 3.1622776601683795}",0.8028216284634336,0.8028216284634336,0.0311581632605764
